type	display	impact	n	Zmu	Zsd
splice_acceptor_variant	Splice acceptor variant	HIGH	424.0	-0.029637191186509548	1.0914680660038194
splice_donor_variant	Splice donor variant	HIGH	703.0	-0.08528305504095922	1.0507083027997919
stop_gained	Stop gained	HIGH	346.0	-0.03809532474320864	1.038422666200649
stop_lost	Stop lost	HIGH	47.0	0.07450520917036468	1.0959321142202174
start_lost	Start lost	HIGH	55.0	-0.05138307910705844	1.0660581824996724
missense_variant	Missense variant	MODERATE	27204.0	-0.07709488704406547	1.0361511561964636
splice_region_variant	Splice region variant	LOW	8692.0	-0.08422810814077694	1.0436165379408104
stop_retained_variant	Stop retained variant	LOW	6.0	-0.230234304964288	1.2367571018602224
synonymous_variant	Synonymous variant	LOW	25758.0	-0.09607056017460129	1.0360340965121333
mature_miRNA_variant	Mature miRNA variant	MODIFIER	83.0	-0.15525083567994105	0.9942046617435475
5_prime_UTR_variant	5 prime UTR variant	MODIFIER	19825.0	-0.08705805419398259	1.0479867787512778
3_prime_UTR_variant	3 prime UTR variant	MODIFIER	82130.0	-0.08321186964571022	1.0454616514592576
non_coding_transcript_exon_variant	Non coding transcript exon variant	MODIFIER	158047.0	-0.0879544292167755	1.043872703044803
intron_variant	Intron variant	MODIFIER	4089997.0	-0.0904550430258743	1.038150138684459
upstream_gene_variant	Upstream gene variant	MODIFIER	325551.0	-0.08526566633727516	1.0456282351540187
downstream_gene_variant	Downstream gene variant	MODIFIER	271479.0	-0.08781040131148035	1.039363183222596
TF_binding_site_variant	TF binding site variant	MODIFIER	20282.0	-0.08536253129668613	1.0407780069290093
regulatory_region_variant	Regulatory region variant	MODIFIER	276103.0	-0.09214143176520251	1.038624290961753
intergenic_variant	Intergenic variant	MODIFIER	2157149.0	-0.09369554767882948	1.034820704309183
