type n muZFreq sdZFreq ci90ZFreq ci95ZFreq ci99ZFreq
transcript_ablation 0 nan nan nan nan nan
splice_acceptor_variant 24 -0.05207724875567995 0.8979034360243106 0.3015018039189102 0.35923619190338235 0.4721389950730168
splice_donor_variant 25 0.22688775702390956 1.226402363815674 0.4034863776953568 0.4807497266157442 0.6318424978378353
stop_gained 7 0.6591393637176013 1.4007991052029765 0.8709490262452868 1.0377264993560864 1.3638691134394278
frameshift_variant 0 nan nan nan nan nan
stop_lost 3 1.5190189808813497 1.0560031447482394 1.0029296863116268 1.1949800517755553 1.5705452109050158
start_lost 4 -0.016909723180864256 1.5220103580514324 1.251853519497303 1.4915701508904038 1.9603493411702448
transcript_amplification 0 nan nan nan nan nan
inframe_insertion 0 nan nan nan nan nan
inframe_deletion 0 nan nan nan nan nan
missense_variant 761 -0.07396106905495813 1.0372914637211317 0.06185493827186908 0.0736995009196738 0.09686220120871414
protein_altering_variant 0 nan nan nan nan nan
splice_region_variant 365 -0.04202216973825625 1.1000639926360742 0.09471906876569837 0.11285676278466189 0.14832603108841277
incomplete_terminal_codon_variant 0 nan nan nan nan nan
start_retained_variant 0 nan nan nan nan nan
stop_retained_variant 0 nan nan nan nan nan
synonymous_variant 810 -0.12880352166588277 1.0459988439991115 0.06045811431185399 0.07203520003114518 0.09467483432664796
coding_sequence_variant 0 nan nan nan nan nan
mature_miRNA_variant 6 -0.22912961131640977 0.8541328322696586 0.5736086518521746 0.6834486064621654 0.8982467399217031
5_prime_UTR_variant 727 -0.12225707644509469 1.0486332910459697 0.06397677412351592 0.07622764576418918 0.10018490586150577
3_prime_UTR_variant 2850 -0.05971320620097558 1.0736714360872235 0.033083760756880576 0.03941894898692154 0.05180776152566831
non_coding_transcript_exon_variant 6790 -0.07177649560775788 1.0658216918024135 0.021277253604334096 0.025351621315802327 0.0333192737293402
intron_variant 230196 -0.04481825216669862 1.0858509050756922 0.0037229500852905034 0.004435855420771664 0.0058299814101570435
NMD_transcript_variant 0 nan nan nan nan nan
non_coding_transcript_variant 0 nan nan nan nan nan
upstream_gene_variant 13904 -0.08318361329678663 1.049124088606127 0.014636016201948357 0.017438657602321446 0.022919378563051047
downstream_gene_variant 12875 -0.09768571450789845 1.0497832747049738 0.015219203799038256 0.018133519420130688 0.023832625523600333
TFBS_ablation 0 nan nan nan nan nan
TFBS_amplification 0 nan nan nan nan nan
TF_binding_site_variant 1081 -0.057301833199905644 1.0452762072535577 0.052297884348931026 0.062312372841279516 0.0818962614485388
regulatory_region_ablation 0 nan nan nan nan nan
regulatory_region_amplification 0 nan nan nan nan nan
feature_elongation 0 nan nan nan nan nan
regulatory_region_variant 14562 -0.0493786861340031 1.053583932210018 0.01436231764778802 0.01711254868672615 0.022490778273982943
feature_truncation 0 nan nan nan nan nan
intergenic_variant 118141 -0.046487126531455245 1.0586575726000649 0.005066652155259828 0.006036862142437242 0.007934161672917519
