type n muZFreq sdZFreq ci90ZFreq ci95ZFreq ci99ZFreq
transcript_ablation 0 nan nan nan nan nan
splice_acceptor_variant 29 0.04397188411653152 1.0085085330003365 0.30806792293295127 0.36705965285628234 0.48242125803968533
splice_donor_variant 57 -0.1655429608663249 0.9296038922842509 0.2025472764890841 0.24133292517848318 0.31718041594886365
stop_gained 20 -0.01572744854178399 1.0299789845511462 0.37886044758824755 0.45140819287110345 0.5932793392020217
frameshift_variant 0 nan nan nan nan nan
stop_lost 7 0.04708313546695507 1.0902112116311187 0.6778405194899317 0.8076397679028974 1.0614694092438082
start_lost 10 -0.02777772199465319 0.7661691354148836 0.39855710446702985 0.4748765500032696 0.624123465718583
transcript_amplification 0 nan nan nan nan nan
inframe_insertion 0 nan nan nan nan nan
inframe_deletion 0 nan nan nan nan nan
missense_variant 1893 -0.16511740787546578 0.9298094435639962 0.03515479324422892 0.04188656216333658 0.055050910271813795
protein_altering_variant 0 nan nan nan nan nan
splice_region_variant 618 -0.19028065945468484 0.9379388214449312 0.06206491665045852 0.07394968792395057 0.09719101841433504
incomplete_terminal_codon_variant 0 nan nan nan nan nan
start_retained_variant 0 nan nan nan nan nan
stop_retained_variant 1 -0.8392601657681774 0.0 0.0 0.0 0.0
synonymous_variant 1793 -0.16871307696967688 0.9313465379213354 0.03618154117964039 0.043109921405528974 0.05665875384726665
coding_sequence_variant 0 nan nan nan nan nan
mature_miRNA_variant 13 -0.3386564868830241 0.7847610629250122 0.3580401025764135 0.4266009732825352 0.5606755648856178
5_prime_UTR_variant 1314 -0.17002520891097983 0.939091476299334 0.04261633702540216 0.05077691220047917 0.06673537032062976
3_prime_UTR_variant 5696 -0.18380929694641954 0.9289347053413204 0.020247252576831097 0.024124386048990244 0.031706335950101465
non_coding_transcript_exon_variant 11957 -0.1859079137741429 0.9481891476118256 0.014264277135765615 0.016995734459635627 0.022337251004092538
intron_variant 357111 -0.17547325493557236 0.9403472286337327 0.0025885260344209594 0.0030842012325015683 0.004053521619859205
NMD_transcript_variant 0 nan nan nan nan nan
non_coding_transcript_variant 0 nan nan nan nan nan
upstream_gene_variant 23052 -0.18094410693756938 0.9442561248771607 0.010230607128071443 0.012189659556851081 0.016020695417575708
downstream_gene_variant 19882 -0.1900746362558701 0.9385746533766366 0.01094976224360777 0.013046525226426279 0.017146861726160253
TFBS_ablation 0 nan nan nan nan nan
TFBS_amplification 0 nan nan nan nan nan
TF_binding_site_variant 1772 -0.19725373367185803 0.9291389012355685 0.036309033360206036 0.04326182698237315 0.05685840117683329
regulatory_region_ablation 0 nan nan nan nan nan
regulatory_region_amplification 0 nan nan nan nan nan
feature_elongation 0 nan nan nan nan nan
regulatory_region_variant 26751 -0.17073034758454822 0.9509654155620616 0.009564463508616351 0.011395956520904587 0.01497754285604603
feature_truncation 0 nan nan nan nan nan
intergenic_variant 182113 -0.18154938460994682 0.9429354829403084 0.0036347739480126007 0.004330794491249056 0.005691901331355902
