type n muZFreq sdZFreq ci90ZFreq ci95ZFreq ci99ZFreq
transcript_ablation 0 nan nan nan nan nan
splice_acceptor_variant 16 0.0362029946891601 1.1125742641324654 0.4575461661244764 0.545161389424908 0.7164978261013077
splice_donor_variant 49 -0.23044113007324507 1.1041377367180785 0.25947236812874847 0.309158566281062 0.4063226871122529
stop_gained 16 -0.19665313636315365 0.758243469896098 0.31182762699477035 0.37153930024908804 0.4883087946130871
frameshift_variant 0 nan nan nan nan nan
stop_lost 3 0.8568186606060436 0.7227830770350208 0.6864568617311348 0.8179060480200755 1.0749622345406706
start_lost 6 -0.2810227855019171 1.2439052745811332 0.8353675220378705 0.9953315156195903 1.308149991957176
transcript_amplification 0 nan nan nan nan nan
inframe_insertion 0 nan nan nan nan nan
inframe_deletion 0 nan nan nan nan nan
missense_variant 1228 -0.042406222043225535 1.0711285148526826 0.05028150865314485 0.059909882650555565 0.07873870291215875
protein_altering_variant 0 nan nan nan nan nan
splice_region_variant 454 -0.0740170186127762 1.0452716846346384 0.08069881580281882 0.09615178053101817 0.12637091155505245
incomplete_terminal_codon_variant 0 nan nan nan nan nan
start_retained_variant 0 nan nan nan nan nan
stop_retained_variant 1 1.322841765163578 0.0 0.0 0.0 0.0
synonymous_variant 1307 -0.055390225639292974 1.0686554139195483 0.04862569243491496 0.05793699524160081 0.07614576517467535
coding_sequence_variant 0 nan nan nan nan nan
mature_miRNA_variant 7 0.16547517743628107 1.1193237182783353 0.6959412658580405 0.8292066146393674 1.08981440781174
5_prime_UTR_variant 1080 -0.04957517863241843 1.0731941540477157 0.05371954466174057 0.06400626597994621 0.08412252100221503
3_prime_UTR_variant 4517 -0.04766017546867163 1.0855287577390929 0.026569427109304686 0.03165718974725665 0.041606592239251595
non_coding_transcript_exon_variant 8335 -0.06190518564910492 1.0761231792066774 0.01938987843199309 0.0231028338764173 0.03036372452329131
intron_variant 194261 -0.038574510628289226 1.0825478741188543 0.004040361310589646 0.0048140475190004296 0.006327033882114851
NMD_transcript_variant 0 nan nan nan nan nan
non_coding_transcript_variant 0 nan nan nan nan nan
upstream_gene_variant 15170 -0.04537293877142554 1.091302818683722 0.014575329745514216 0.017366350335080768 0.02282434615467758
downstream_gene_variant 13020 -0.03882924727188438 1.096869313408532 0.01581303735159576 0.018841065780624736 0.024762543597392512
TFBS_ablation 0 nan nan nan nan nan
TFBS_amplification 0 nan nan nan nan nan
TF_binding_site_variant 884 -0.019315094824856643 1.089579875117404 0.060283553272664284 0.07182721240998298 0.0944014791674062
regulatory_region_ablation 0 nan nan nan nan nan
regulatory_region_amplification 0 nan nan nan nan nan
feature_elongation 0 nan nan nan nan nan
regulatory_region_variant 12208 -0.03760837644407895 1.084761498667557 0.016150199981868583 0.019242791467758313 0.025290525929053783
feature_truncation 0 nan nan nan nan nan
intergenic_variant 93466 -0.061393612218203435 1.0943645078369166 0.005888451108959029 0.007016026853227779 0.009221063864242224
