type n muZFreq sdZFreq ci90ZFreq ci95ZFreq ci99ZFreq
transcript_ablation 0 nan nan nan nan nan
splice_acceptor_variant 22 -0.08171828199890062 1.1618510912887294 0.40747881276134645 0.48550667052415747 0.6380944812603213
splice_donor_variant 40 -0.2359203435926452 0.9387072397333364 0.24415525379247008 0.29090838749741116 0.3823367378537404
stop_gained 13 0.07385760361712639 1.2481135551752307 0.5694404659379141 0.6784822572877274 0.8917195381495846
frameshift_variant 0 nan nan nan nan nan
stop_lost 4 0.1540601450174346 1.2980543357783891 1.0676496911777251 1.2720932490628214 1.6718939844825653
start_lost 3 0.4754867463738242 1.1185317741699015 1.062315701403764 1.265737856991719 1.6635411834748308
transcript_amplification 0 nan nan nan nan nan
inframe_insertion 0 nan nan nan nan nan
inframe_deletion 0 nan nan nan nan nan
missense_variant 1472 -0.031477594463080426 1.037836256446616 0.04449803526134419 0.05301893563053776 0.06968202968584963
protein_altering_variant 0 nan nan nan nan nan
splice_region_variant 451 -0.0633220468981749 1.082542901488702 0.08385379992898817 0.09991091055368803 0.13131148244198998
incomplete_terminal_codon_variant 1 nan nan nan nan nan
start_retained_variant 0 nan nan nan nan nan
stop_retained_variant 2 -0.4070644489707317 0.21417852545844648 0.24913045932605413 0.2968362919629581 0.3901276980084592
synonymous_variant 1311 -0.0242612244856533 1.0537927489833716 0.0478762099007076 0.057043994775311184 0.07497210741898042
coding_sequence_variant 0 nan nan nan nan nan
mature_miRNA_variant 3 0.07020510272553719 1.3059978330666353 1.2403599397930378 1.477875672944896 1.9423508844418635
5_prime_UTR_variant 1044 -0.03563858653298905 1.0768275586832408 0.05482287597732469 0.0653208735048975 0.085850290892151
3_prime_UTR_variant 4192 -0.06207414681661649 1.066325363455266 0.027092245644856666 0.032280122470467514 0.042425303818328736
non_coding_transcript_exon_variant 8685 -0.05565514269528689 1.0710284092647149 0.018905230709650604 0.022525381271073057 0.029604786813410305
intron_variant 246118 -0.04639351510654175 1.0720443418798737 0.0035547328094133234 0.0042354263261094914 0.005566560314315332
NMD_transcript_variant 0 nan nan nan nan nan
non_coding_transcript_variant 0 nan nan nan nan nan
upstream_gene_variant 18994 -0.06588286950498368 1.0621435025533228 0.012677712015427379 0.015105358997104962 0.019852757539052236
downstream_gene_variant 16187 -0.043034947833058994 1.0726965416822003 0.013869461501937474 0.016525315832095714 0.02171898652218294
TFBS_ablation 0 nan nan nan nan nan
TFBS_amplification 0 nan nan nan nan nan
TF_binding_site_variant 1210 -0.008224746428229917 1.0584393605946696 0.050054047208650886 0.059638864759243605 0.07838250796929161
regulatory_region_ablation 0 nan nan nan nan nan
regulatory_region_amplification 0 nan nan nan nan nan
feature_elongation 0 nan nan nan nan nan
regulatory_region_variant 14611 -0.05015356374751536 1.0558656827172173 0.014369266740171022 0.017120828456373985 0.022501660256948667
feature_truncation 0 nan nan nan nan nan
intergenic_variant 129261 -0.051894031452262866 1.0625156337929476 0.004861468493848425 0.005792387992670464 0.007612852790366895
