HGDP01201	   -5.444  -7.54181   2.24958  0.453979  0.333331  -0.29337   0.40099  -1.78178  -3.37862  0.763669   2.18679   -1.4248   2.18596   2.01506 -0.993643   2.36821  0.107948   1.02314  -2.18901  0.295981
HGDP00479	 -5.93615  -9.06683 -0.831519 -0.201006   -1.9247 -0.395705  0.806308    1.4199  0.927756  -2.33228  -2.89177   1.34616 -0.625859  0.619526  -1.91436  0.213437  0.663723  -1.18431  -0.20887  -2.61125
HGDP01408	 -7.08365  -9.57643  -1.33162 -0.332003  0.691782  0.911815  0.386128  -2.10703  -1.18718 -0.322702  0.535309   1.02095   2.57936  -1.46356 -0.116144  -3.57645  -1.05549 -0.656682 -0.652926  -1.41261
HGDP00471	 -7.83688  -9.39121  0.205423 -0.176217 0.0997611 -0.480996 -0.956502  0.409968   3.20752  -1.66083   1.88987  0.281556 -0.562091  0.783376  0.971568  -1.72495   1.10057  -1.79727 -0.116958  0.300518
HGDP01411	  -5.80929    -6.3167    1.11144  -0.485856    1.43665   0.579924   -1.08538  -0.516785  -0.511177    -1.7327   -1.00002   -1.18147   0.198493    1.06823 -0.0449341   0.102533    1.08195    1.38174  -0.795112    1.67805
HGDP00937	  -5.57682   -8.60871   0.403198  0.0582939   0.162238 -0.0177282    3.58293   0.381077   0.713761  0.0678539   -1.08087  -0.973339   0.186588  -0.267137   -1.31976   -1.37249    1.00451   0.224502 -0.0385854   -1.26187
HGDP01189	  6.48023  0.336721   3.91419 -0.322324  0.704721   -2.6414  -1.57603 -0.315315 -0.759095  0.134681 -0.602988 -0.815516 0.0503631  0.656948  0.171408  -2.52095  -1.82014 -0.428446   1.13785  0.934972
HGDP01094	 -6.55661  -9.33776  -1.35058 -0.726305   -0.9144   2.02168  -1.77456 -0.259819   3.32292  -0.99618  -0.11407    1.0061  -2.36776   -1.0077  -1.04614   1.96601   1.33497  -1.54428   1.52107  0.902379
HGDP00469	  -4.77223   -8.99203    1.36754    1.28846   -0.12777  -0.205839    1.45658    1.46682  -0.212243  -0.774138  -0.679503    1.70419  -0.760525    3.41653 -0.0076163    1.20422    2.11521    1.97314    1.02539   -1.64754
HGDP00475	 -3.05533  -8.72825  0.633803   1.45264  0.598567  0.168836  -1.21258   0.47419   2.42708  -1.75449   1.67699  0.147817 0.0601991   3.23969  -1.20966 -0.392745 -0.566616  0.193469  0.643407   1.21595
