type n muZFreq sdZFreq ci90ZFreq ci95ZFreq ci99ZFreq
transcript_ablation 0 nan nan nan nan nan
splice_acceptor_variant 20 -0.38466963897937995 0.6919824448661538 0.25453410478996275 0.30327467804761515 0.39858957686257995
splice_donor_variant 28 -0.2675491008676315 0.9789616975304897 0.3043354803799889 0.3626124872612634 0.47657641182908905
stop_gained 11 -0.3447246830556591 1.0742330112108047 0.5328047081419829 0.6348311416159795 0.8343495004095731
frameshift_variant 0 nan nan nan nan nan
stop_lost 5 -0.14115316370668976 0.8737814918007615 0.642811653525586 0.7659032467538897 1.0066156957336836
start_lost 3 0.08180089602614815 0.6610510661397137 0.6278274280684379 0.7480497015283515 0.9831510362944049
transcript_amplification 0 nan nan nan nan nan
inframe_insertion 0 nan nan nan nan nan
inframe_deletion 0 nan nan nan nan nan
missense_variant 741 -0.13550948863957193 0.9638905725708151 0.058248471153292014 0.0694024337145607 0.09121462716770835
protein_altering_variant 0 nan nan nan nan nan
splice_region_variant 279 -0.1927118588077191 0.9102711744413876 0.08964675851781052 0.10681315908505083 0.14038300908320966
incomplete_terminal_codon_variant 0 nan nan nan nan nan
start_retained_variant 0 nan nan nan nan nan
stop_retained_variant 2 0.40091630570191555 0.0 0.0 0.0 0.0
synonymous_variant 708 -0.16408118780801573 0.8413908928725992 0.052017213085942676 0.061977956017293404 0.08145674219415705
coding_sequence_variant 0 nan nan nan nan nan
mature_miRNA_variant 3 nan nan nan nan nan
5_prime_UTR_variant 603 -0.2389716120457802 0.7902013540335897 0.052935255759616225 0.06307179409656401 0.08289435795548412
3_prime_UTR_variant 2396 -0.1561973613906938 0.8888614936499825 0.029871469508081994 0.035591538137289186 0.04677745012329436
non_coding_transcript_exon_variant 5761 -0.21122400300308025 0.884319081996538 0.01916575627566003 0.022835794711424717 0.03001275876358677
intron_variant 180194 -0.20864889081291838 0.8694539124347072 0.0033693203528038294 0.0040145093565322225 0.005276212297156635
NMD_transcript_variant 0 nan nan nan nan nan
non_coding_transcript_variant 0 nan nan nan nan nan
upstream_gene_variant 12711 -0.19056034914156794 0.9074267320425059 0.013239988625514254 0.015775305596357408 0.020733258783784025
downstream_gene_variant 11655 -0.19636162752974462 0.8859565437508394 0.013499639888994787 0.016084677314546977 0.0211398616134046
TFBS_ablation 0 nan nan nan nan nan
TFBS_amplification 0 nan nan nan nan nan
TF_binding_site_variant 741 -0.15176800903732235 0.9480793616451569 0.0572929904278758 0.06826398859491584 0.08971838501046082
regulatory_region_ablation 0 nan nan nan nan nan
regulatory_region_amplification 0 nan nan nan nan nan
feature_elongation 0 nan nan nan nan nan
regulatory_region_variant 11664 -0.21107459433995915 0.8706953480459887 0.013261980069774549 0.015801508168242016 0.020767696449689507
feature_truncation 0 nan nan nan nan nan
intergenic_variant 128347 -0.18958222732068292 0.8907690104111086 0.004090139693183471 0.00487335793230371 0.006404984711027733
