ensID	EmbryoDev	DDD	Lethal	Essential	Misc	Candidate_gene
ENSG00000000419	0.0	1.0	0.0	1.0	0.0	0.0
ENSG00000000460	0.0	0.0	1.0	0.0	0.0	0.0
ENSG00000000938	0.0	0.0	0.0	1.0	0.0	0.0
ENSG00000001084	0.0	0.0	0.0	1.0	1.0	0.0
ENSG00000001167	0.0	0.0	1.0	1.0	0.0	0.0
ENSG00000001497	0.0	1.0	0.0	1.0	0.0	0.0
ENSG00000001617	1.0	0.0	1.0	0.0	0.0	0.0
ENSG00000001630	0.0	0.0	1.0	1.0	0.0	0.0
ENSG00000001631	0.0	1.0	0.0	0.0	0.0	0.0
ENSG00000002587	0.0	0.0	1.0	0.0	0.0	0.0
ENSG00000002745	1.0	0.0	0.0	0.0	0.0	0.0
ENSG00000002822	0.0	0.0	1.0	0.0	1.0	0.0
ENSG00000003056	0.0	0.0	1.0	0.0	0.0	0.0
ENSG00000003137	1.0	0.0	0.0	1.0	0.0	0.0
ENSG00000003393	0.0	1.0	0.0	0.0	0.0	0.0
ENSG00000003400	0.0	0.0	0.0	0.0	1.0	0.0
ENSG00000003402	0.0	0.0	1.0	1.0	0.0	0.0
ENSG00000003436	0.0	0.0	1.0	0.0	1.0	0.0
ENSG00000003509	0.0	0.0	1.0	1.0	0.0	0.0
ENSG00000003756	0.0	0.0	0.0	1.0	0.0	0.0
ENSG00000004059	0.0	0.0	0.0	1.0	0.0	0.0
ENSG00000004142	0.0	0.0	1.0	0.0	0.0	0.0
ENSG00000004399	0.0	1.0	1.0	0.0	0.0	0.0
ENSG00000004455	0.0	1.0	0.0	1.0	0.0	0.0
ENSG00000004478	0.0	0.0	1.0	0.0	1.0	0.0
ENSG00000004487	0.0	1.0	0.0	1.0	0.0	1.0
ENSG00000004534	0.0	0.0	0.0	1.0	0.0	0.0
ENSG00000004777	0.0	0.0	1.0	0.0	0.0	0.0
ENSG00000004779	0.0	0.0	1.0	1.0	0.0	0.0
ENSG00000004838	0.0	1.0	0.0	1.0	0.0	0.0
ENSG00000004848	0.0	1.0	0.0	0.0	0.0	0.0
ENSG00000004897	0.0	0.0	1.0	1.0	0.0	0.0
ENSG00000004939	0.0	1.0	0.0	1.0	0.0	0.0
ENSG00000004948	0.0	0.0	1.0	0.0	0.0	0.0
ENSG00000004961	0.0	1.0	0.0	1.0	0.0	0.0
ENSG00000004975	1.0	0.0	1.0	0.0	0.0	0.0
ENSG00000005007	0.0	0.0	1.0	1.0	0.0	1.0
ENSG00000005020	0.0	0.0	1.0	0.0	0.0	0.0
ENSG00000005022	0.0	0.0	0.0	1.0	0.0	0.0
ENSG00000005073	1.0	1.0	0.0	0.0	1.0	0.0
ENSG00000005100	0.0	0.0	1.0	1.0	0.0	0.0
ENSG00000005102	1.0	1.0	0.0	0.0	0.0	0.0
ENSG00000005156	0.0	0.0	1.0	1.0	0.0	1.0
ENSG00000005175	0.0	0.0	1.0	1.0	0.0	0.0
ENSG00000005194	0.0	0.0	1.0	1.0	0.0	0.0
ENSG00000005302	0.0	1.0	0.0	0.0	0.0	0.0
ENSG00000005339	1.0	1.0	0.0	1.0	0.0	1.0
ENSG00000005379	0.0	0.0	0.0	1.0	0.0	0.0
ENSG00000005448	0.0	0.0	0.0	1.0	0.0	0.0
ENSG00000005483	0.0	1.0	1.0	0.0	0.0	0.0
ENSG00000005486	0.0	0.0	0.0	1.0	0.0	0.0
ENSG00000005513	1.0	0.0	0.0	0.0	0.0	0.0
ENSG00000005810	0.0	0.0	1.0	0.0	0.0	0.0
ENSG00000005882	0.0	0.0	0.0	1.0	0.0	0.0
ENSG00000005884	1.0	1.0	0.0	0.0	0.0	0.0
ENSG00000005889	0.0	0.0	1.0	1.0	0.0	0.0
ENSG00000005893	0.0	1.0	0.0	0.0	0.0	0.0
ENSG00000005961	0.0	0.0	0.0	1.0	0.0	0.0
ENSG00000006007	0.0	0.0	1.0	0.0	0.0	0.0
ENSG00000006015	0.0	0.0	0.0	1.0	0.0	0.0
ENSG00000006025	0.0	0.0	0.0	1.0	0.0	0.0
ENSG00000006118	0.0	0.0	1.0	0.0	0.0	0.0
ENSG00000006125	0.0	0.0	1.0	1.0	0.0	0.0
ENSG00000006194	0.0	0.0	0.0	1.0	0.0	0.0
ENSG00000006283	0.0	1.0	0.0	0.0	0.0	0.0
ENSG00000006327	0.0	0.0	0.0	1.0	0.0	0.0
ENSG00000006377	1.0	0.0	1.0	1.0	0.0	0.0
ENSG00000006451	1.0	0.0	1.0	0.0	0.0	0.0
ENSG00000006530	0.0	1.0	0.0	1.0	0.0	0.0
ENSG00000006534	0.0	0.0	1.0	0.0	0.0	0.0
ENSG00000006606	0.0	0.0	0.0	1.0	0.0	0.0
ENSG00000006611	1.0	0.0	0.0	0.0	0.0	0.0
ENSG00000006634	0.0	0.0	1.0	0.0	0.0	0.0
ENSG00000006638	0.0	0.0	0.0	1.0	0.0	0.0
ENSG00000006652	0.0	0.0	0.0	1.0	0.0	0.0
ENSG00000006659	0.0	0.0	0.0	0.0	1.0	0.0
ENSG00000006695	0.0	1.0	0.0	1.0	0.0	0.0
ENSG00000006704	0.0	0.0	1.0	0.0	0.0	0.0
ENSG00000006712	1.0	0.0	1.0	1.0	0.0	0.0
