,predispo_cancer,azoospermia,gene_paper
ENSG00000027075,1,0,1
ENSG00000027644,0,0,1
ENSG00000027847,0,0,1
ENSG00000027869,0,0,1
ENSG00000028137,1,0,1
ENSG00000028277,0,0,1
ENSG00000028528,0,0,1
ENSG00000028839,0,1,1
ENSG00000029534,0,0,1
ENSG00000029559,0,0,1
ENSG00000029993,0,0,1
ENSG00000030066,0,0,1
ENSG00000030110,0,0,1
ENSG00000030304,0,0,1
ENSG00000030582,0,0,1
ENSG00000031698,0,0,1
ENSG00000032219,1,0,0
ENSG00000033050,0,0,1
ENSG00000033170,0,0,1
ENSG00000033327,1,0,1
ENSG00000033627,0,0,1
ENSG00000033800,0,0,1
ENSG00000034053,0,0,1
ENSG00000034152,0,0,1
ENSG00000034510,0,0,1
ENSG00000034533,1,0,0
ENSG00000034693,0,0,1
ENSG00000034713,0,0,1
ENSG00000034971,0,0,1
ENSG00000035115,0,0,1
ENSG00000035403,0,0,1
ENSG00000035664,0,0,1
ENSG00000035681,0,0,1
ENSG00000035687,0,0,1
ENSG00000035720,1,0,0
ENSG00000035862,0,0,1
ENSG00000035928,1,0,0
ENSG00000036257,0,0,1
ENSG00000036448,0,0,1
ENSG00000036473,0,0,1
ENSG00000036565,0,0,1
ENSG00000036672,0,0,1
ENSG00000037280,0,0,1
ENSG00000037897,0,0,1
ENSG00000037965,0,0,1
ENSG00000038219,1,0,0
ENSG00000038945,0,0,1
ENSG00000039068,1,0,1
ENSG00000039537,0,0,1
ENSG00000039600,0,1,0
ENSG00000039650,1,0,1
ENSG00000040341,0,0,1
ENSG00000040531,0,0,1
ENSG00000040608,0,0,1
ENSG00000040731,1,0,1
ENSG00000041353,0,0,1
ENSG00000041357,0,0,1
ENSG00000041880,1,0,0
ENSG00000041982,0,0,1
ENSG00000042088,1,0,0
ENSG00000042493,0,0,1
ENSG00000042813,0,0,1
ENSG00000042980,0,0,1
ENSG00000043039,0,0,1
ENSG00000043355,0,0,1
ENSG00000043462,0,0,1
ENSG00000043591,0,0,1
ENSG00000044012,0,0,1
ENSG00000044446,0,0,1
ENSG00000044524,0,0,1
ENSG00000044574,0,0,1
ENSG00000046604,0,0,1
ENSG00000046653,0,0,1
ENSG00000047188,0,1,0
ENSG00000047230,0,0,1
ENSG00000047315,1,0,0
ENSG00000047457,0,0,1
ENSG00000047579,1,0,1
ENSG00000047936,0,0,1
ENSG00000048028,1,0,0
ENSG00000048392,1,0,0
ENSG00000048462,0,0,1
ENSG00000048544,0,0,1
ENSG00000048545,0,0,1
ENSG00000049089,0,0,1
ENSG00000049130,1,1,0
ENSG00000049167,1,0,0
ENSG00000049246,0,0,1
ENSG00000049249,0,0,1
ENSG00000049323,0,0,1
ENSG00000049540,0,0,1
ENSG00000049541,1,0,1
ENSG00000049759,0,0,1
ENSG00000049768,0,1,0
ENSG00000050165,0,0,1
ENSG00000050327,0,0,1
ENSG00000050344,0,0,1
ENSG00000050438,0,0,1
ENSG00000050555,0,0,1
ENSG00000050628,0,0,1
ENSG00000050748,0,0,1
ENSG00000050767,0,0,1
ENSG00000050820,0,0,1
ENSG00000051108,0,0,1
ENSG00000051128,0,0,1
ENSG00000051180,1,0,1
ENSG00000051341,1,0,0
ENSG00000051382,0,0,1
ENSG00000051523,0,0,1
ENSG00000051620,0,0,1
ENSG00000052344,0,0,1
ENSG00000052850,0,0,1
ENSG00000053438,0,0,1
ENSG00000053702,0,0,1
ENSG00000053747,0,0,1
ENSG00000053918,0,0,1
ENSG00000054179,0,0,1
ENSG00000054219,0,0,1
ENSG00000054277,0,0,1
ENSG00000054356,0,0,1
ENSG00000054523,0,0,1
ENSG00000054598,0,0,1
ENSG00000054793,0,0,1
ENSG00000054796,1,1,1
ENSG00000054965,1,0,0
ENSG00000054983,0,0,1
ENSG00000055118,0,0,1
ENSG00000055130,0,0,1
ENSG00000055732,0,0,1
ENSG00000055917,0,0,1
ENSG00000055950,0,0,1
ENSG00000055955,0,0,1
ENSG00000055957,0,0,1
ENSG00000056097,0,0,1
ENSG00000056558,0,0,1
ENSG00000056678,0,0,1
ENSG00000057252,1,0,1
ENSG00000057468,1,1,1
ENSG00000057593,0,0,1
ENSG00000057608,0,0,1
ENSG00000057657,0,1,1
ENSG00000057935,0,0,1
ENSG00000058085,0,0,1
ENSG00000058272,0,0,1
ENSG00000058335,0,0,1
ENSG00000058404,0,0,1
ENSG00000058866,0,0,1
ENSG00000059377,0,0,1
ENSG00000059804,0,0,1
ENSG00000060491,0,0,1
ENSG00000060558,0,0,1
ENSG00000060656,1,0,0
ENSG00000060718,0,0,1
ENSG00000060971,0,0,1
ENSG00000060982,0,0,1
ENSG00000061337,1,0,0
ENSG00000061492,0,0,1
ENSG00000061656,0,0,1
ENSG00000061676,0,0,1
ENSG00000061938,0,0,1
ENSG00000062038,0,0,1
ENSG00000062485,0,0,1
ENSG00000062524,0,0,1
ENSG00000062582,0,0,1
ENSG00000062598,0,0,1
ENSG00000062822,1,0,1
ENSG00000063015,0,0,1
ENSG00000063176,0,0,1
ENSG00000063177,0,0,1
ENSG00000063244,0,0,1
ENSG00000063245,0,0,1
ENSG00000063438,0,0,1
ENSG00000063601,0,0,1
ENSG00000063660,0,0,1
ENSG00000063854,0,0,1
ENSG00000063978,0,0,1
ENSG00000064012,0,0,1
ENSG00000064102,1,0,0
ENSG00000064195,0,0,1
ENSG00000064199,0,0,1
ENSG00000064300,0,0,1
ENSG00000064309,0,0,1
ENSG00000064393,0,0,1
ENSG00000064490,0,0,1
ENSG00000064545,1,0,0
ENSG00000064651,0,1,1
ENSG00000064655,1,0,1
ENSG00000064666,0,0,1
ENSG00000064687,0,0,1
ENSG00000064692,0,0,1
ENSG00000064703,0,0,1
ENSG00000064726,0,0,1
ENSG00000064933,1,0,0
ENSG00000064961,0,0,1
ENSG00000064989,0,0,1
ENSG00000065054,0,0,1
ENSG00000065057,1,0,1
ENSG00000065135,0,0,1
ENSG00000065154,0,0,1
ENSG00000065320,0,0,1
ENSG00000065357,0,0,1
ENSG00000065361,0,0,1
ENSG00000065371,0,0,1
ENSG00000065534,0,0,1
ENSG00000065559,0,0,1
ENSG00000065609,0,0,1
ENSG00000065618,0,0,1
ENSG00000065675,1,0,1
ENSG00000065717,0,0,1
ENSG00000065802,0,0,1
ENSG00000065882,0,0,1
ENSG00000065911,0,0,1
ENSG00000065970,0,0,1
ENSG00000065989,0,0,1
ENSG00000066027,1,0,0
ENSG00000066044,1,0,1
ENSG00000066056,0,0,1
ENSG00000066117,0,0,1
ENSG00000066136,0,0,1
ENSG00000066248,0,0,1
ENSG00000066322,0,0,1
ENSG00000066336,1,0,0
ENSG00000066405,0,0,1
ENSG00000066427,1,0,0
ENSG00000066455,0,0,1
ENSG00000066468,1,0,1
ENSG00000066923,0,1,1
ENSG00000066926,0,0,1
ENSG00000067057,0,0,1
ENSG00000067066,1,0,1
ENSG00000067141,0,0,1
ENSG00000067177,0,0,1
ENSG00000067182,1,0,1
ENSG00000067191,0,0,1
ENSG00000067208,0,0,1
ENSG00000067369,1,0,0
ENSG00000067445,0,0,1
ENSG00000067560,1,0,0
ENSG00000067606,0,0,1
ENSG00000067715,0,0,1
ENSG00000067829,0,0,1
ENSG00000067900,0,0,1
ENSG00000067955,0,0,1
ENSG00000067992,0,0,1
ENSG00000068001,0,0,1
ENSG00000068028,1,0,1
ENSG00000068078,0,0,1
ENSG00000068305,0,0,1
ENSG00000068650,0,0,1
ENSG00000068697,0,0,1
ENSG00000068724,1,0,0
ENSG00000068745,1,0,0
ENSG00000068796,0,0,1
ENSG00000068831,0,0,1
ENSG00000068878,1,0,0
ENSG00000068903,1,0,1
ENSG00000068976,0,0,1
ENSG00000069011,0,0,1
ENSG00000069206,0,0,1
ENSG00000069275,1,0,0
ENSG00000069329,0,0,1
ENSG00000069345,0,0,1
ENSG00000069399,0,0,1
ENSG00000069424,0,0,1
ENSG00000069431,0,0,1
ENSG00000069482,0,0,1
ENSG00000069667,0,0,1
ENSG00000069696,1,0,1
ENSG00000069702,0,0,1
ENSG00000069764,0,0,1
ENSG00000069849,0,0,1
ENSG00000069869,0,0,1
ENSG00000069943,0,0,1
ENSG00000069956,0,0,1
ENSG00000069966,0,0,1
ENSG00000069974,1,0,1
ENSG00000070010,1,0,0
ENSG00000070018,0,0,1
ENSG00000070019,0,0,1
ENSG00000070031,0,0,1
ENSG00000070081,0,0,1
ENSG00000070087,0,0,1
ENSG00000070190,0,0,1
ENSG00000070193,1,0,1
ENSG00000070366,1,0,0
ENSG00000070404,0,0,1
ENSG00000070413,0,0,1
ENSG00000070444,1,0,1
ENSG00000070501,1,0,1
ENSG00000070610,0,0,1
ENSG00000070614,0,0,1
ENSG00000070669,0,0,1
ENSG00000070718,0,0,1
ENSG00000070756,0,0,1
ENSG00000070770,0,0,1
ENSG00000070778,0,0,1
ENSG00000070808,0,0,1
ENSG00000070814,0,0,1
ENSG00000070831,1,0,1
ENSG00000070882,0,0,1
ENSG00000070886,0,0,1
ENSG00000070915,0,0,1
ENSG00000070950,1,0,1
ENSG00000070985,0,0,1
ENSG00000071051,0,0,1
ENSG00000071054,0,0,1
ENSG00000071082,1,0,1
ENSG00000071127,0,0,1
ENSG00000071205,0,0,1
ENSG00000071242,0,0,1
ENSG00000071243,0,0,1
ENSG00000071282,0,0,1
ENSG00000071539,1,0,1
ENSG00000071564,1,0,1
ENSG00000071626,0,0,1
ENSG00000071655,1,0,1
ENSG00000071894,0,0,1
ENSG00000071994,0,0,1
ENSG00000072042,0,0,1
ENSG00000072062,0,0,1
ENSG00000072110,0,0,1
ENSG00000072121,1,0,0
ENSG00000072134,0,0,1
ENSG00000072135,0,0,1
ENSG00000072201,0,0,1
ENSG00000072210,0,0,1
ENSG00000072310,0,0,1
ENSG00000072315,0,0,1
ENSG00000072364,0,1,0
ENSG00000072401,0,0,1
ENSG00000072415,0,0,1
ENSG00000072422,0,0,1
ENSG00000072501,1,0,0
ENSG00000072518,0,0,1
ENSG00000072609,1,0,0
ENSG00000072682,0,0,1
ENSG00000072694,0,0,1
ENSG00000072736,0,0,1
ENSG00000072756,1,0,1
ENSG00000072778,1,0,1
ENSG00000072786,0,0,1
ENSG00000072832,0,0,1
ENSG00000072840,0,0,1
ENSG00000072952,0,0,1
ENSG00000072958,0,0,1
ENSG00000073050,1,0,1
ENSG00000073060,0,0,1
ENSG00000073111,1,0,0
ENSG00000073146,0,1,1
ENSG00000073282,1,0,0
ENSG00000073417,0,0,1
ENSG00000073578,1,0,1
ENSG00000073584,1,0,1
ENSG00000073670,0,0,1
ENSG00000073711,0,0,1
ENSG00000073734,0,0,1
ENSG00000073756,1,0,1
ENSG00000073921,0,0,1
ENSG00000073969,0,0,1
ENSG00000074047,0,0,1
ENSG00000074054,0,0,1
ENSG00000074181,1,0,1
ENSG00000074201,0,0,1
ENSG00000074219,0,0,1
ENSG00000074266,0,0,1
ENSG00000074317,0,0,1
ENSG00000074319,1,0,1
ENSG00000074370,0,0,1
ENSG00000074416,0,0,1
ENSG00000074582,0,0,1
ENSG00000074660,0,0,1
ENSG00000074695,0,0,1
ENSG00000074800,0,0,1
ENSG00000074803,0,0,1
ENSG00000074966,0,0,1
ENSG00000075043,0,0,1
ENSG00000075073,0,0,1
ENSG00000075151,0,1,0
ENSG00000075213,0,0,1
ENSG00000075218,0,0,1
ENSG00000075223,0,0,1
ENSG00000075239,0,0,1
ENSG00000075275,0,0,1
ENSG00000075340,0,0,1
ENSG00000075388,0,0,1
ENSG00000075413,0,0,1
ENSG00000075415,0,0,1
ENSG00000075426,1,0,1
ENSG00000075429,0,0,1
ENSG00000075461,0,0,1
ENSG00000075618,0,0,1
ENSG00000075624,1,0,1
ENSG00000075651,0,0,1
ENSG00000075785,1,0,0
ENSG00000075790,0,0,1
ENSG00000075856,0,0,1
ENSG00000075945,0,0,1
ENSG00000075975,0,0,1
ENSG00000076003,1,0,0
ENSG00000076067,0,0,1
ENSG00000076108,0,0,1
ENSG00000076242,1,1,1
ENSG00000076248,1,0,1
ENSG00000076344,0,0,1
ENSG00000076356,0,0,1
ENSG00000076382,0,0,1
ENSG00000076554,0,0,1
ENSG00000076555,0,0,1
ENSG00000076604,0,0,1
ENSG00000076706,0,0,1
ENSG00000076716,0,0,1
ENSG00000076924,1,0,0
ENSG00000076928,0,0,1
ENSG00000076944,0,0,1
ENSG00000076984,1,0,1
ENSG00000077044,1,0,0
ENSG00000077092,0,0,1
ENSG00000077097,0,0,1
ENSG00000077150,0,0,1
ENSG00000077152,1,0,0
ENSG00000077264,0,0,1
ENSG00000077274,0,0,1
ENSG00000077279,0,0,1
ENSG00000077312,0,0,1
ENSG00000077327,0,0,1
ENSG00000077463,1,0,1
ENSG00000077498,0,0,1
ENSG00000077514,1,0,0
ENSG00000077522,0,0,1
ENSG00000077549,0,0,1
ENSG00000077616,0,0,1
ENSG00000077721,1,0,1
ENSG00000077782,0,0,1
ENSG00000077800,0,1,1
ENSG00000077935,0,1,0
ENSG00000077942,0,0,1
ENSG00000077943,0,0,1
ENSG00000077984,0,0,1
ENSG00000078018,0,1,0
ENSG00000078061,0,0,1
ENSG00000078070,0,0,1
ENSG00000078098,0,0,1
ENSG00000078237,1,0,0
ENSG00000078246,0,0,1
ENSG00000078269,0,0,1
ENSG00000078295,0,0,1
ENSG00000078304,0,0,1
ENSG00000078319,1,0,0
ENSG00000078369,0,0,1
ENSG00000078399,0,0,1
ENSG00000078401,0,0,1
ENSG00000078403,0,0,1
ENSG00000078549,0,0,1
ENSG00000078596,0,0,1
ENSG00000078668,0,0,1
ENSG00000078674,0,0,1
ENSG00000078747,0,0,1
ENSG00000078795,0,0,1
ENSG00000078808,0,0,1
ENSG00000078900,1,0,0
ENSG00000079112,0,0,1
ENSG00000079150,0,0,1
ENSG00000079215,0,0,1
ENSG00000079246,1,0,1
ENSG00000079257,0,0,1
ENSG00000079277,0,0,1
ENSG00000079385,1,0,1
ENSG00000079393,0,0,1
ENSG00000079435,0,1,1
ENSG00000079459,0,0,1
ENSG00000079462,0,0,1
ENSG00000079557,0,0,1
ENSG00000079616,1,0,0
ENSG00000079689,0,0,1
ENSG00000079785,1,0,1
ENSG00000079805,1,0,1
ENSG00000079950,0,0,1
ENSG00000079999,0,0,1
ENSG00000080166,0,0,1
ENSG00000080224,0,0,1
ENSG00000080345,1,0,0
ENSG00000080371,0,0,1
ENSG00000080493,0,0,1
ENSG00000080503,0,0,1
ENSG00000080561,0,0,1
ENSG00000080573,0,0,1
ENSG00000080618,0,0,1
ENSG00000080709,0,0,1
ENSG00000080802,0,0,1
ENSG00000080815,0,0,1
ENSG00000080824,1,1,0
ENSG00000080839,0,0,1
ENSG00000081041,0,0,1
ENSG00000081051,0,0,1
ENSG00000081052,0,0,1
ENSG00000081059,1,0,1
ENSG00000081177,1,0,0
ENSG00000081181,0,0,1
ENSG00000081189,0,0,1
ENSG00000081237,0,0,1
ENSG00000081248,0,0,1
ENSG00000081277,0,0,1
ENSG00000081377,1,0,0
ENSG00000081479,0,0,1
ENSG00000081721,0,0,1
ENSG00000081800,0,0,1
ENSG00000081842,0,0,1
ENSG00000081985,1,0,1
ENSG00000082014,0,0,1
ENSG00000082068,1,0,0
ENSG00000082074,1,0,0
ENSG00000082153,0,0,1
ENSG00000082175,0,0,1
ENSG00000082212,0,0,1
ENSG00000082258,0,0,1
ENSG00000082293,0,0,1
ENSG00000082482,0,0,1
ENSG00000082512,0,0,1
ENSG00000082556,0,0,1
ENSG00000082641,1,0,1
ENSG00000082684,0,0,1
ENSG00000082701,1,0,0
ENSG00000082781,0,0,1
ENSG00000082898,0,0,1
ENSG00000082996,0,0,1
ENSG00000083093,1,0,0
ENSG00000083123,0,0,1
ENSG00000083290,0,0,1
ENSG00000083444,0,0,1
ENSG00000083457,0,0,1
ENSG00000083635,0,0,1
ENSG00000083642,1,0,0
ENSG00000083799,1,0,0
ENSG00000083807,0,0,1
ENSG00000083845,0,0,1
ENSG00000083857,1,0,0
ENSG00000084072,1,0,1
ENSG00000084073,1,0,1
ENSG00000084093,0,0,1
ENSG00000084110,0,0,1
ENSG00000084207,1,0,0
ENSG00000084234,0,0,1
ENSG00000084463,0,0,1
ENSG00000084676,0,0,1
ENSG00000084731,0,0,1
ENSG00000084733,0,0,1
ENSG00000085224,1,0,1
ENSG00000085274,0,0,1
ENSG00000085365,0,0,1
ENSG00000085377,0,0,1
ENSG00000085382,1,0,0
ENSG00000085465,0,0,1
ENSG00000085511,1,0,1
ENSG00000085552,0,0,1
ENSG00000085719,0,0,1
ENSG00000085733,0,0,1
ENSG00000085741,0,0,1
ENSG00000085832,0,0,1
ENSG00000085999,1,0,1
ENSG00000086061,0,0,1
ENSG00000086062,0,0,1
ENSG00000086102,0,0,1
ENSG00000086159,0,0,1
ENSG00000086205,0,0,1
ENSG00000086232,0,0,1
ENSG00000086504,0,0,1
ENSG00000086696,0,0,1
ENSG00000086758,1,0,0
ENSG00000086827,0,0,1
ENSG00000086991,0,0,1
ENSG00000087008,0,0,1
ENSG00000087053,0,0,1
ENSG00000087077,0,0,1
ENSG00000087085,0,0,1
ENSG00000087088,0,1,1
ENSG00000087095,0,0,1
ENSG00000087191,0,0,1
ENSG00000087206,1,0,0
ENSG00000087245,0,0,1
ENSG00000087250,0,0,1
ENSG00000087266,0,0,1
ENSG00000087274,0,0,1
ENSG00000087303,0,0,1
ENSG00000087460,0,0,1
ENSG00000087470,0,0,1
ENSG00000087494,0,0,1
ENSG00000087586,1,0,0
ENSG00000087903,0,0,1
ENSG00000088002,0,0,1
ENSG00000088179,0,0,1
ENSG00000088256,0,0,1
ENSG00000088305,0,0,1
ENSG00000088325,1,0,0
ENSG00000088727,0,0,1
ENSG00000088812,0,0,1
ENSG00000088832,0,0,1
ENSG00000088882,0,0,1
ENSG00000088930,0,0,1
ENSG00000089006,0,0,1
ENSG00000089009,0,0,1
ENSG00000089022,1,0,1
ENSG00000089041,0,0,1
ENSG00000089050,0,0,1
ENSG00000089053,0,0,1
ENSG00000089057,0,0,1
ENSG00000089116,0,0,1
ENSG00000089123,0,1,0
ENSG00000089159,0,0,1
ENSG00000089199,0,0,1
ENSG00000089225,0,0,1
ENSG00000089234,0,0,1
ENSG00000089248,0,0,1
ENSG00000089250,0,0,1
ENSG00000089280,1,0,0
ENSG00000089289,0,0,1
ENSG00000089327,0,0,1
ENSG00000089356,0,0,1
ENSG00000089472,0,0,1
ENSG00000089685,0,0,1
ENSG00000089692,0,0,1
ENSG00000089737,0,0,1
ENSG00000089820,0,0,1
ENSG00000090006,1,0,1
ENSG00000090013,0,0,1
ENSG00000090020,0,0,1
ENSG00000090054,0,0,1
ENSG00000090060,0,0,1
ENSG00000090061,0,0,1
ENSG00000090097,1,0,1
ENSG00000090273,0,0,1
ENSG00000090316,0,0,1
ENSG00000090339,0,0,1
ENSG00000090372,0,0,1
ENSG00000090376,0,0,1
ENSG00000090402,0,0,1
ENSG00000090447,0,0,1
ENSG00000090470,0,0,1
ENSG00000090512,0,0,1
ENSG00000090520,0,0,1
ENSG00000090534,0,0,1
ENSG00000090539,0,0,1
ENSG00000090615,0,1,1
ENSG00000090621,0,0,1
ENSG00000090674,0,0,1
ENSG00000090776,0,0,1
ENSG00000091073,0,0,1
ENSG00000091138,0,0,1
ENSG00000091140,0,0,1
ENSG00000091157,0,0,1
ENSG00000091181,0,0,1
ENSG00000091262,0,0,1
ENSG00000091409,0,0,1
ENSG00000091482,0,0,1
ENSG00000091483,1,0,0
ENSG00000091527,0,0,1
ENSG00000091542,1,0,0
ENSG00000091583,0,0,1
ENSG00000091664,0,0,1
ENSG00000091704,0,0,1
ENSG00000091732,0,1,0
ENSG00000091831,1,0,1
ENSG00000091844,0,0,1
ENSG00000091986,1,0,0
ENSG00000092010,0,0,1
ENSG00000092054,0,0,1
ENSG00000092068,0,0,1
ENSG00000092094,0,0,1
ENSG00000092199,1,0,0
ENSG00000092200,0,0,1
ENSG00000092201,1,0,1
ENSG00000092295,0,0,1
ENSG00000092330,1,0,0
ENSG00000092345,0,0,1
ENSG00000092421,0,0,1
ENSG00000092439,0,0,1
ENSG00000092445,0,0,1
ENSG00000092529,0,0,1
ENSG00000092531,0,0,1
ENSG00000092607,0,0,1
ENSG00000092621,0,0,1
ENSG00000092758,0,0,1
ENSG00000092820,1,0,0
ENSG00000092850,0,0,1
ENSG00000092853,1,0,0
ENSG00000092964,0,0,1
ENSG00000092969,0,0,1
ENSG00000093000,0,0,1
ENSG00000093009,1,0,0
ENSG00000093010,0,0,1
ENSG00000093134,0,0,1
ENSG00000093167,0,0,1
ENSG00000094631,0,0,1
ENSG00000094755,0,0,1
ENSG00000094804,0,0,1
ENSG00000094916,0,0,1
ENSG00000094963,0,0,1
ENSG00000095002,1,0,1
ENSG00000095015,0,0,1
ENSG00000095139,0,0,1
ENSG00000095261,0,0,1
ENSG00000095303,0,0,1
ENSG00000095321,0,0,1
ENSG00000095370,0,0,1
ENSG00000095380,0,0,1
ENSG00000095539,0,0,1
ENSG00000095585,1,0,1
ENSG00000095596,0,0,1
ENSG00000095627,0,1,0
ENSG00000095637,0,0,1
ENSG00000095739,0,0,1
ENSG00000095752,0,0,1
ENSG00000095794,0,0,1
ENSG00000095906,0,0,1
ENSG00000095951,0,0,1
ENSG00000096060,0,0,1
ENSG00000096063,0,0,1
ENSG00000096080,0,0,1
ENSG00000096150,0,0,1
ENSG00000096384,1,0,0
